,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
499,Pengaruh Banyak Jaringan Petani Budidaya Rumput Laut  Dalam Komunitas “Indah Baru” Terhadap Tingkat Pendapatan Petani Di Pulau Talango Di Kabupaten Sumenep. ,Siti Aminatus,"Khoirul Rosyadi, S. S., M. Si., Ph. D",,"ABSTRAK

SITI AMINATUS 140521100083.Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya Universitas Trunojoyo Madura Pengaruh Banyak Jaringan Petani Budidaya Rumput Laut  Dalam Komunitas “Indah Baru” Terhadap Tingkat Pendapatan Petani Di Pulau Talango Di Kabupaten Sumenep. Di bimbing oleh Bapak Khoirul Rosyadi, S.S., M.Si., Ph.D  dan Bapak  Drs. Subandri, M.S.
        Penelitian ini meneliti tentang pengaruh tingkat jaringan petani budidaya rumput laut dalam komunitas ""indah baru""terhadap tingkat pendapatan petani di pulau tak anti kabupaten sumenep. Dengan jumlah responden sebanyak 10 petani budidaya rumput laut di Desa Talango. yang bergabung dalam komunitas ""indah baru"" dalam penelitian ini tidak menggunakan populasi secara kesseluruhan, tetapi menggunakan peneliltian dengan cara eksidental. Teori yang digunakan dalam penelitian ini yaitu teori jaringan sosial yang dikemukakan oleh Wellman. Dalam penelitian ini menggunakan penelitian survey dengan analisis regresi linier sederhana. Teknik pengumpulan data yang digunakan dalam penelitian ini yaitu data primer berupa kuesioner dan data sekunder berupa observasi dan dokumentasi serta refrensi – refrensi yang berkaitan dengan penelitian ini.
        Dari hasil penelitian menunjukkan bahwa adanya pengaruh tingkat jaringan petani budidaya rumput laut  komunitas dalam"" indah baru"" trhadap tingkat pendapatan petani di pulau talango kabupaten sumenep. Yang ditunjukkan dengan perolehan data dengan jumlah petani yang ikut komunitas dengan perolehan pendapatan pada usaha Komunitas “Baru indah” sebesar Rp 210,750,000. Dalam penelitian ini dengan bertambahnya jaringan sosial setiap penjualan dalam komunitas cenderung mempengaruhi tingkat pendapatan petani budidaya rumput laut di Talango kabupaten sumenep.

Kata Kunci : petani rumput laut, komunitas, Pulau Talango.
"
500,Wanita Pembalap Motor (Studi Peran Wanita di Arena Balap Motor Drag Kota Bangkalan),Yoga Tri Sutrisno,"Merlia Indah Prastiwi, S.Sos., M.Sosio.",,"Sutrisno, Yoga Tri. 2018. Wanita Pembalap Motor Drag (Studi Peran Wanita Sebagai Pembalap Motor Drag di Kota Bangkalan). Skripsi, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. Pembimbing : Merlia Indah P.S.Sos., M.Sos.


ABSTRAK
Penelitian ini merupakan penelitian kualitatif dengan menggunakan informan sebanyak 3 orangpembalap wanita motor drag. Penelitian ini bertujuan untuk mengetahui peran wanita pembalap motor drag. Hasil penelitian menujukkan bahwa dari data sekunder yang didapat dari surat kabar berita, dapat dilihat bahwa pembalap wanita memberikan warna baru di dunia balap motor drag, sehingga pembalap wanita lebih mudah mendapatkan perhatian baik oleh tim-tim balap para penonton yang rata-rata memiliki usaha di bidang modifikasi motor maupun yang menyukai dunia motor drag. Tidak jarang saat ditempat lintasan track pembalap wanita cenderung dinomorduakan setelah laki-laki yang dianggap lebih kompeten di bidang ini. Namun, meskipun begitu sama seperti yang laki-laki, wanita juga mempunyai kesempatan yang sama untuk meraih kesuksesan atas profesinya. Inilah sebabnya bahwa wanita juga sangat berharga dan layak untuk diperhitungkan kemampuannya tanpa melihat gender terutama dalam bidang sosial. Ketiga informan mengakui jika mereka merasa beruntung menjadi wanita pembalap, walaupun terkadang mendapat cibiran hingga citra diri yang buruk dari masyarakat, bagi mereka asalkan dapat menorehkan prestasi dan selama balapan itu resmi.

Kata kunci: Peran Wanita, Balap Motor Drag, Bangkalan
"
501,"Modal Sosial Baru
(Studi Kasus tentang Penggunaan Media Sosial pada Dropshiper OrIflame Surabaya)",Mei Pungki Arganita,"Khoirul Rosyadi, S.S. M.Si., Ph.D",,"ABSTRAK

Mei Pungki Arganita, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya. Skripsi ini tentang Modal Sosial baru (Studi tentang Penggunaan Media Sosial pada Dropshiper Oriflame di Surabaya) di bawah bimbingan Khoirul Rosyadi,S.S., M.Si., Ph.D.   
Modal sosial baru adalah modal sosial yang memanfaatkan sosial virtual, yang menjadikan internet sebagai tempat bersosialisasi. Modal sosial baru kini banyak digunakan oleh para pebisnis salah satunya yaitu dropshiper Oriflame yang ada di Surabaya. Adanya modal sosial baru sendiri akibat dari perkembangan zaman yang kini membuat banyak orang menggunakan media sosial sebagai media sosialisasi. Media sosial juga telah menjadi alat untuk menjalankan bisnis secara online.
Menurut Fukuyama salah satu peran teknologi dengan adanya media sosial yang kini telah memberikan dampak positif kepada pelaku bisnis adalah mempermudah dalam memperluas modal sosial seperti jaringan sosial. Sedangkan menurut John Field bahwa manfaat dari media online juga dapat memberi tambahan tingkat pendapatan bagi aktor ekonomi dalam menumbuhkan modal sosial dengan komunitas online, kehadiran internet telah mengembangakan modal sosial dalam memperkaya koneksi dan jaringan pada manusia.
Tujuan dari penelitian ini adalah untuk mengetahui pengaruh modal sosial baru dalam penggunaan media sosial pada dropshiper Oriflame di Surabaya. Penelitian ini menggunakan metode kuaalitatif dan pendekatan studi kasus. Dalam penelitian ini menggunakan teknik pengambilan informan secara purposive sampling. Penelitian ini menggunakan metode pengumpulan data  observasi, wawancara, dokumentasi, triangulasi, dan analisis data.
Berdasarkan hasil penelitian  dapat disimpulkan bahwa terjadinya modal sosial pada dropshiper Oriflame di Surabaya yaitu berawal dari modal sosial dan konektivitas internet yang kemudian membuat ruang sosial baru yang menjadikannya interaksi secara online kemudian menimbulkan hubungan kasual, jarinagan baru dan hubungan secara profesioanl yang akhiranya menjadikan modal sosial baru pada dropshiper Orifalame di Surabaya.

Kata Kunci:  Modal Sosial Baru, Dropshiper, Media Sosial 
"
502,TRUST SEBAGAI MODAL SOSIAL DALAM GOWO NYAUR ANTARA PRODUSEN DAN DISTRIBUTOR USAHA TURI PUTIH (Studi Kasus Di Desa Kebonagung Kecamatan Wonodadi Kabupaten Blitar),Nilta Hurin’In,"Khoirul Rosyadi, S.S, M.Si, Ph. D",,"ABSTRAK
Nilta Hurin’In, 140521100025. Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya,Universitas Trunojoyo Madura. “Trust Sebagai Modal Sosial Dalam Gowo Nyaur Antara Produsen Dan Distributor Usaha Turi Putih (Studi Kasus Di Desa Kebonagung Kecamatan Wonodadi Kabupaten Blitar)’’.
Gowo Nyaur merupakan membawa barang dagangan terlebih dahulu dengan membayar dibelakang. Gowo nyaur terjadi adanya sebuah kepercayaan seorang produsen dengan distributor karena belum ada modal untuk membeli barang produksi dan karena rasa takut jika barang yang sudah dibelinya tidak laku. Sehingga tujuan penelitian ini adalah untuk mengetahui bagaimana trust sebagai modal sosial dalam gowo nyaur antara produsen dan distributor usaha Turi Putih di Desa Kebonagung Kecamatan Wonodadi Kabupaten Blitar. Disini akan dijelaskan mengenai sebuah trust sebagai modal sosial dalam gowo nyaur antara produsen dengan distributor pada usaha Turi Putih dengan subjek penelitian produsen dengan ditributor dalam usaha Turi Putih. Metode yang digunakan dalam penelitian ini adalah kualitatif dengan pendekatan studi kasus. Pengumpulan data menggunakan observasi non participant dan wawancara semiterstruktur serta dokumentasi. Informasi dipilih dengan menggunakan metode purposive sampling. Analisis data menggunakan teknik Mile dan Huberman. Teknik pemeriksaan keabsahan data menggunakan triangulasi sumber.
Hasil penelitian menunjukkan bahwa terdapat bentuk-bentuk kepercayaan yaitu mengambil barang dengan pembayaran dibelakang, pembayaran uang tidak cash dan tanpa adanya uang tambahan ketika mengembalikan. Suatu keinginan untuk mengambil resiko atas dasar keyakinan kedua belah pihak, dengan melakukan hal yang sama, saling mendukung dan tidak akan saling merugikan satu dengan yang lainnya. Sebuah trust sangat dibutuhkan dalam gowo nyaur antara produsen dengan distributor usaha alam Turi Putih, gowo nyaur dilakukan dengan dasar rasa saling percaya diantara produsen dengan distributor. Semakin erat hubungan yang terjalin semakin pula kepercayaan diantara mereka semakin besar sehingga menghasilkan sebuah kekayaan modal sosial. Modal kepercayaan terjadi karena adanya hubungan erat diantara keduanya antara produsen dengan distributor karena mereka saling mengenal diantara satu dengan lainnya bahkan mereka terdapat hubungan persaudaraan sehingga rasa saling percaya diantara mereka terjalin kuat.
Kata Kunci : Trust, Modal Sosial, Gowo Nyaur, Produsen dan distributor, Turi Putih"
503,"PERLAWANAN PETANI BELIMBING
(Studi Kasus Terhadap Sistem Tengkulak di Desa Ngringinrejo Kecamatan Kalitidu Kabupaten Bojonegoro)
",Eka Safitri,"Khoirul Rosyadi, S.S, M.Si, Ph.D",,"
Petani belimbing di Desa Ngringinrejo selama bertahun-tahun menggantungkan pemasaran kepada tengkulak. Tengkulak merupakan lembaga pemasaran yang biasa membeli hasil panen petani. Sistem tengkulak dalam membeli komoditas hasil panen petani biasanya, petani tidak bisa menentukan harga, harga beli rendah atau bisa dibilang jauh dari harga pasar. Kondisi seperti itu menimbulkan suatu hubungan yang bersifat patron klien. Adapun bentuk hubungan patron klien petani belimbing dan tengkulak di Desa Ngringinrejo,  yaitu petani meminjam modal kepada tengkulak untuk biaya perawatan pohon belimbing, pembayaran dipotong dengan hasil jual belimbing oleh tengkulak, petani menggantungkan pemasaran belimbing kepada tengkulak, sistem pembayaran tengkulak dilakukan setelah belimbing laku terjual dipasar, harga beli belimbing petani rendah. Kondisi seperti itu membuat petani belimbing belum bisa merasakan keuntungan secara maksimal dari hasil panen belimbing. Hal tersebut yang mendorong petani belimbing untuk melakukan perlawanan.
Penelitian ini untuk mendeskripsikan bagaimana perlawanan petani belimbing terhadap sistem tengkulak, dalam penelitian ini dengan cara observasi dan wawancara mendalam dengan informan yang ditentukan dengan menggunakan teknik purposive sampling kemudian data dianalisis menggunakan metode kualitatif dengan pendekatan studi kasus, dan diperiksa keabsahanya dengan triangulasi sumber dan teori yang digunakan adalah teori perlawanan kaum tani James. C. Scott.
Hasil dari penelitian ini menunjukkan bahwa bentuk perlawanan petani belimbing di Desa Ngringinrejo jika dianalisis dengan teori perlawanan kaum tani James.C. Scott termasuk kedalam jenis perlawanan secara terbuka yang dilakukan dengan perubahan sumber daya manusia, dalam hal ini pola fikir petani yang mampu melihat peluang untuk menjual belimbing secara langsung kepada konsumen, menciptakan pasar sendiri, berjualan secara terang-terangan diarea kebun dengan mendirikan warung-warung kecil.
 Kata Kunci:Perlawanan ,Petani Belimbing, Sistem ,Tengkulak




"
504,"Strategi Pemberdayaan Perempuan
Penyandang Disabilitas (Studi Kasus Pemberdayaan Perempaun Disabilitas di
Lembaga Himpunan Wanita Disabilitas Indenesia Kota Surabaya)",M. MUSLIH,"Hisnuddin Lubis, S.Sos., M.A",,"M. Muslih, NIM 14.02.2.1.1.000.74, Program Studi Sosiologi, Jurusan Ilmu
Sosial dan Ilmu Budaya, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas
Trunojoyo Madura. Skripsi ini berjudul Strategi Pemberdayaan Perempuan
Penyandang Disabilitas (Studi Kasus Pemberdayaan Perempaun Disabilitas di
Lembaga Himpunan Wanita Disabilitas Indenesia Kota Surabaya).
Tujuan dari penelitian ini adalah mendeskripsikan strategi pemberdayaan
perempuan penyandang disabilitas yang dilakukan oleh HWDI Kota Surabaya.
Pemberdayaan adalah teori yang berkembang dari teori pembangunan yang
menempatkan masyarakat sebagai subjek pembangunan atau berorientasi pada
masyarakat. Sehingga yang ditekankan dalam pemberdayaan adalah masyarakat
yang partisipatif terhadap kegiatan pemberdayaan.
Metode yang digunakan adalah metode kualitatif deskriptif. Informan yang
dipilih dalam penelitian didasarkan pada tekhnik purposive sampling. Sumber data
peneltin dari data primer dan sekunder. Pengumpulan data penelitian dengan cara
observasi non partisipan, wawancara tak terstruktur, dan kajian pustaka. Analisis
menggunakan konsep Glasser dan Strauss serta tekhnik pemeriksaan keabsahan
data peneliti menggunakan triangulasi sumber.
Hasil penelitian menunjukkan bahwa perempuan penyandang disabilitas
mengalami ketergantungan ekonomi yaitu ketergantungan pemenuhan kebutuhan
hidup yang diakibatkan tiadanya penghasilan. Strategi yang digunakan oleh HWDI
Kota Surabaya ada 4 yaitu: 1) dukungan sosial, 2) pelatihan keterampilan, 3)
pameran produk, 4) sarana penunjang keberdayaan: pinjaman modal usaha dan
pendampingan usaha. Adapun perempuan penyandang disabilitas di kota Surabaya
telah mencapai keberdayaan yang berbentuk: 1) memiliki pekerjaan mandiri, 2)
kemampuan memenuhi kebutuhan dasar, 3) Kemampuan mobilitas perempuan
penyandang disabilitas. Strategi yang digunakan HWDI Kota Surabaya adalah
strategi pemberdayaan aras mezzo yang menempatkan kelompok sebagai alat
pemberdayaan. Hambatan dalam proses pemberdayaan yaitu hambatan transportasi
dan hambatan anggaran organisasi rendah. Solusi atas hambatan tersebut adalah
meningkatkan solidaritas anggota dan koperasi sebagai sumber kas organisasi.
Kata Kunci: Perempuan penyandang disabilitas, HWDI Kota Surabaya,
ketergantungan ekonomi, strategi pemberdayaan, keberdayaan ekonomi."
505,"BONEK WANITA
(Studi Identitas Diri Wanita Supporter Club Sepakbola Persebaya di Surabaya)",adi hermawan,"Merlia Indah Prastiwi., M.Sosio",,"Penelitian ini bertujuan untuk mengetahui Identitas Diri Bonek Wanita (Bonita) sebagai Sopporter Persebaya. Identitas diri merupakan hal yang dinilai penting bagi setiap orang. Hal tersebut tidak lepas dari pentingnya suatu identitas diri bagi seseorang guna mendapatkan pengakuan dari orang lain di sekitarnya.
Identitas diri seseorang merupakam gambaran diri seseorang secara real  tanpa adanya hal lain yang mempengaruhinya. Proses pencarian identitas dari diri seseorang sehingga menjadi pribadi yang berbeda tidak dapat diambil dari keputusan hidup yang sederhana, akan tetapi membutuhkan waktu yang cukup panjang unutk memutuskannya .Dalam penelitian ini peneliti menggunakan metode penelitian deskriptif kualitatif dengan pendekatan studi kasus yang berguna untuk menggambarkan secara jelas pencapaian identitas diri dari seorang bonita sebagai supporter Persebaya yang menjadi informan pada penelitian ini, teknik pemilihan yang digunakan dalam penelitian ini menggunakan treknik purposive sampling. Sumber data dari penelitian ini menggunakan reduksi data, kategorisasi dan penarikan kesimpulan. Teknik pengumpulan data pada penelitian ini dilakukan dengan observasi, wawancara serta dokumentasi. Serta untuk memeriksa keabsahan data mrnggunakan triangulasi sumber.
Hasil penelitian menunjukan bahwa untuk mencapai identitas diri , para bonita di pengaruhi oleh beberapa faktor yang penting dalam hidupnya serta telah melalui proses berfikir yang panjang dalam mencari identitas dirinya. Ketika seorang bonita mampu mengambil keputusan untuk merubah identitas dirinya, sehingga bonita tersebut dapat dengan percaya diri meyakinkan identitas nya sebagai bentuk identitas diri seorang bonita pada dirinya dan orang lain yang berada di sekitarnya. Dari keseluruhan informan dalam penelitian ini beberapa informan proses pengembangan maupun pembentukan identitas dirinya tidak terpenuhi sesuai dengan faktor-faktor yang telah ditentukan sehingga tidak semua informan mampu mencapai identitas diri seorang Bonita yang sesungguhnya.
"
506,"GUGAT CERAI PEREMPUAN
(Studi Kasus Makna Perceraian Masyarakat Desa Mlilir Kecamatan Berbek Kabupaten Nganjuk)
",Badriatul Halimah,"Merlia Indah Prastiwi. S.Sos., M.Sosio.",,"Badriatul  Halimah. 1.4.05.2.11.000.93 Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura’’ Gugat Cerai Perempuan (Studi Kasus Makna Perceraian Masyarakat Desa Mlilir Kecamatan Berbek Kabupaten Nganjuk).  Dibawah  bimbingan  Merlia Indah P. S.Sos., M.Sosio

Penelitian ini dilatar belakangi untuk mengetahui apa rasionalitas perempuan dalam menggugat cerai suami (studi kasus makna perceraian masyarakat Desa Mlilir Kecamatan Berbek Kabupaten Nganjuk). Disini akan dijelaskan macam-macam rasionalitas dalam artian terkait pilihan perceraian yang dianggap sebagai pilihan yang terbaik berdasarkan pada faktor-faktor yang melatarbelakangi perceraian itu sendiri yang dalam hal ini disebut sebagai sumber daya. Teori yang di gunakan dalam penelitian ini adalah teori pilihan rasional oleh James S. Coleman. Tujuan dalam penelitian ini untuk mengetahui dan mendeskripsikan macam-macam rasionalitas perempuan dalam memilih menggugat cerai. Metode yang digunakan dalam penelitian ini adalah penelitian kualitatif dengan pendekatan studi kasus. Penentuan informan menggunakan teknik purposive sampling. Sumber data penelitian ini menggunakan data primer dan data sekunder. Pengumpulan data menggunakan teknik Observasi, Teknik wawancara, Dokumentasi. Analisis data menggunakan teknik analisis deskriptif, yang meliputi tiga tahap yaitu reduksi data, penyajian data, dan penarikan kesimpulan. Untuk menjaga keabsahan data penelitian ini untuk menggunakan triangulasi sumber.
Hasil penelitian ini adalah bahwa perempuan menggugat cerai suami didasarkan pada alasan-alasan yang melatar belakangi dan tujuan-tujuan yang ingin dicapai. Perempuan yang melakukan tindakan cerai gugat adalah  memang dirasa pilihan yang terbaik diantara yang  paling baik berdasarkan alasan-alasan yang membuatnya bercerai,  selain itu perceraian juga dipilih denga tujuan agar terbebas dari permasalahan dan  menginginkan kebahagiaan.
Kata kunci:  gugat  cerai,  perempuan,  Nganjuk. 
"
507,DUNIA TANDHA’ (STUDI FENOMENOLOGI SINDEN TANDHA’ DI DESA KEBUNDADAP KECAMATAN SARONGGI KABUPATEN SUMENEP),MOH. SIRAJUDDIN WAHID,"Dr. Ekna Satriyati, S.S.,M.Hum",,"Tujuan dari penelitian ini adalah menerangkan realitas kehidupan seorang sinden tandha’ di Desa Kebunndadap Kecamatan Saronggi Kabupaten Sumenep menggunakan analisis Dramaturgi. Adapun yang menjadi permasalahan dalam penelitian ini adalah Bagaimana menjelaskan dramaturgi sinden ketika berada pada pertunjukan tandha’ dan ketika ia bersosial dengan masyarakat. 
Peneliti menggunakan metodologi kualitatif yang berparadigma fenomenologi sehingga menghasilkan temuan data yang disajikan berupa narasi deskriptif. Metode Pengumpulan data menggunakan observasi dan wawancara serta dokumentasi. Informan dipilih dengan metode purposive sampling.Teknik analisis data menggunakan Miles dan Habermas. Teknik pemeriksaan keabsahan data menggunakan triangulasi sumber dan metode. 
Hasil penelitian menunjukkan dari temuan tentang dramaturgi ketika sinden tandha’ berada di atas panggung dan di bawah panggung. Jika di lihat pada saat di panggung sinden-sinden terlihat cantik dengan memakai busana kebaya yang sedikit terbuka, sehingga menimbulkan banyak persepsi dari kalangan masyarakat setempat. Akan tetapi itu hanyalah sebagai bentuk profesionalitas dalam dunia kerja. Berbeda dengan kehidupan sosialnya di suatu daerah yang ditempati, para sinden-sinden berkehidupan secara normal layaknya masyarakat pada umumnya. Seperti halnya dalam hal etika, penampilan sehari-sehari dalam bermasyarakat terlihat biasa dan tertutup. 

Kata kunci : Dramaturgi Kehidupan Sinden Tandha’, Di Atas Panggung, Di Bawah Panggung, Sumenep
"
508,TINDAKAN SOSIAL NELAYAN JURAGAN TERHADAP PENDIDIKAN ANAK (Studi Fenomenologi di Desa Campurejo Kecamatan Panceng Kabupaten Gresik) ,Fanti Denovita,"Khoirul Rosyadi, S.S. M. Si., Ph.D",,"Penelitian ini bertujuan untuk mengetahui tindakan sosial nelayan juragan terhadap pendidikan anak di Desa Campurejo Kecamatan Panceng Kabupaten Gresik. Teori yang digunakan adalah teori tindakan sosial. Penelitian ini menggunakan metode kualitatif dan jenis penelitian yang digunakan adalah fenomenologi dengan sumber data utama terdiri dari empat nelayan juragan dengan catatan nelayan juragan yang berpenghasilan tinggi dan dua anak dari nelayan juragan dengan catatan tidak melanjutkan pendidikan sampai perguruan tinggi. Teknik sampling yang digunakan peneliti adalah teknik purposive sampling, sedangkan sumber data yaitu dari data primer dan data sekunder, kemudian teknik pengumpulan data dengan cara observasi, wawancara mendalam dan dokumentasi. Validitas data dalam penelitian ini menggunakan metode triangulasi sumber.  Hasil penelitian menunjukkan bahwa minimal pendidikan yang harus diperoleh anak nelayan juragan harus setingkat SMA/Sederajat. tindakan sosial yang diarahkan nelayan juragan terhadap anaknya merupakan tindakan rasional instrumental. Mereka memberikan pendidikan yang cukup untuk anaknya karena mereka menganggap bahwa pendidikan sangat penting dan berpengaruh terhadap
masa depan sang anak. Motivasi yang mendorong nelayan juragan untuk menyekolahkan anaknya adalah agar nantinya anak tidak menyesal nantinya karena tidak bisa melanjutkan pendidikan setinggi mungkin, hal lain yang mendorong
nelayan juragan untuk memberikan pendidikan kepada anaknya adalah agar mendapatkan pekerjaan yang layak. Makna yang mendasari nelayan untuk berbuat
demikian terhadap pendidikan anak salah satunya adalah agar anak tersebut mengerti dalam segala jenis ilmu pengetahuandan sukses dalam kehidupan.

Kata Kunci: Pendidikan, Tindakan Sosial, Nelayan Juragan, Gresik
 "
509,IRONI ALUMNI PESANTREN,Sallam,"Hisnuddin Lubis,M.A",,"Setiap manusia terlahir tidak sempurna dalam artian, pasti memiliki kesalahan dan kehilafan dalam hidupnya baik itu di sengaja ataupun tidak , seperti halnya seorang santri kita tahu santri memiliki pondasi keagamaan yang lebih kuat dari pada masyarakat awam yang tidak mengerti tentang keagamaan,santri sama halnya dengan seorang murid jika murid mempunyai perilaku yang menyimpang ada hal yang melatarbelakangi hal tersebut  seperti yang di paparkan dalam teori control secial,  control social  merupakan sebuah control  atau pengontrol sesorang dalam berperilaku yang menjdikontrol social dalam individu yang mnjdi indikator control social adalah kasih sayang (keluarga),tanggung jawab,keterlibatan,dan tanggung jawabatau keyakinan ke empat  hal ini mempengaruhi  induvdu berperilaku penyimpang atau tidak,seperti halnya seorang alumni santri yang melakukan perjudian setelah keluar dari pondok.
Tujuan dari penelitian ini mendistrifkan bagaimana seorang alumni pesantren melakukan perjuadian pasca santri tersbut keluar dari pondok padahal kita tahu seorang santri di pandang memiliki pengetahuan tentang haram atau tidaknya perjudian,untuk pemmperoleh data dalam penelitian ini melalui wawancara,observasi, cara menentukan informan dalam penelitian ini menggunakan proposive sampling,menganalisi dengan teknik analisa diskriptif kualitatif dan di periksa menggunakan ke absahan data triangulasi sumber,dalam penelitian ini menggunakan teori control social dari Travis herchi menyebutkan  adanya peran mikrosistem di dalam pembentukan delinquency anak,asumsi teori ini adalah koneksi social antara anak dengan keluarga ,teman,sekolah dan lingkungan social lain.
Hasilnya dalam penelitian ini bahwa alumni santri tersebut melakukan perjudian sebab santri terbusebut kehilanga control social dalam kehidupannya seprti control dari orang tua dan lingkungan, kasih sayang dalam keluarga berpenagruh besar dalam pembentukan karakter anak baik atau buruk dapat di pengaruhi oleh pola asuh atau kasih sayang keluarga,selain itu lingkungan juga memiliki pengaruh besar terhadap seorang santri berperilaku benrjudi lingkungan yang buruk dapat mempengaruhi pola pikir individu sebaliknya  bsgitu lingkungan akan membentuk karakter yang baik.
Kata kunci:control social,perjuadian,santri.
"
510,TINDAKAN SOSIAL BALAP LIAR,HASBY ASSHIDDIQIE,"MERLIA INDAH PRASTIWI,. S.Sos. M.Sosio",,"Hasby Asshiddiqie Nim: 11O521100051, jurusan  Sosiologi, Fakultas ilmu sosial dan ilmu budaya, Universitas Trunojoyo Madura. Judul Skripsi “TINDAKAN SOSIAL BALAP LIAR” Studi Kasus pada remaja Balapan Iiar di Kawasan jl. Lingkar Kabupaten Sumenep). Di bawah  bimbingan Merlia Indah P. S.Sos, M.Sosio NIP. 198410282010122002.
Skripsi ini menggambarkan tindakan dan prilaku remaja dalam melakukan balapan liar motor di jalan umum. Balapan liar merupakan salah satu masalah sosial yang sering di temukan khususnya di Daerah Kota Sumenep yaitu aksi kebut-kebutan sepeda motor yang dilakukan oleh remaja pada saat tengah malam dan sangat meresahkan warga. Penelitian dilakukan di Kabupaten Sumenep. Tipe penelitian yang dilakukan menggunakan studi kasus. Hasil penelitian menunjukkan bahwa melalui wawancara mendalam dan observasi telah memunculkan jawaban yang menjadi rumusan masalah di dalam penulisan ini, tentang tindakan balapan liar. Pelaku balapan liar disebabkan oleh faktor internal dan eksternal. Penelitian ini  merupakan  penelitian  kualitatif  dengan  tipe  penelitian  studi  kasus.  Teori  yang digunakan  adalah  teori  Max Weber tentang tindakan sosial dan teori prilaku sosial. Metode penentuan subjek penelitian menggunakan purposive sampling, dimana subjek penelitian dipilih berdasarkan   karakteristik   yang   sudah   ditentukan.   Metode   pengumpulan   data menggunakan  wawancara  mendalam.  Hasil  pengumpulan  data  kemudian  direduksi dan memilah hal-hal    pokok    yang    sesuai    dengan    fokus    penelitian. Hasil penelitian menunjukkan bahwa tindakan balap liar yang melibatkan remaja didorong oleh faktor internal maupun eksternal. Faktor internal karena keadaan dalam keluarga yang kurang kasih sayang ataupun tidak harmonis, sedangkan faktor eksternal dipengaruhi oleh teman-teman sepermainan yang mengajak kemudian mereka mengikutinya.
"
511,Resistensi Nelayan Kepada Pengepul (Studi Terhadap Perlawanan Nelayan di Desa Gulbung Kecamatan Pangarengan Kabupaten Sampang),M. Fuji Suprapto,"Khoirul Rosyadi, S.S., M.Si., Ph.D",,"M. Fuji Suprapto, NIM 150521100065, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, Skripsi ini mengangkat judul tentang Resistensi Nelayan Kepada Pengepul (Studi terhadap Perlawanan Nelayan di Desa Gulbung Kecamatan Pangarengan Kabupaten Sampang) di bawah bimbingan Bapak Khoirul Rosyadi, S.S., M.Si., Ph.D.
 Tujuan dari penelitian ini adalah untuk mengetahui mengapa nelayan melakukan perlawanan kepada pengepul di Desa Gulbung Kecamatan Pangarengan Kabupaten Sampang. Hal ini dilatarbelakangi oleh nelayan yang beranggapan bahwa mereka dalam bekerja sudah mati-matian namun masalah harga jual ikan murah dan juga adanya kecurangan yang dilakukan oleh pengepul sehingga mereka berani untuk melakukan perlawan kepada pengepul.
 Metode penelitian yang digunakan adalah kualitatif dengan pendekatan studi kasus. Penelitian ini menggunakan teknik pengumpulan data dengan sumber primer yaitu observasi, wawancara dan dokumentasi, untuk data sekundernya yaitu dari studi kepustakaan literatur. Dalam penerapan teknik pemilihan informan peneliti menggunakan purposive sampling. Kemudian untuk analisis data menggunakan teknik analisis Miles & Huberman. Teknik keabsahan data menggunakan triangulasi sumber dan Teorinya dari James C. Scott yaitu teori perlawanan sebagai alat analisis.
 Hasil penelitian ini menunjukkan bahwa nelayan di Desa Gulbung melakukan perlawanan kepada pengepul. Jika dilihat perspektif teori perlawanan Scott, maka nelayan melakukan perlawanan terbuka dengan cara pindah pengepul dikarenakan harganya terlalu murah, dicurangi oleh pengepul dan menjual ikan ke pengepul lain. Sedangkan untuk perlawanan tertutup yaitu nelayan menjual hasil ikan ke pengepul lain dengan harga yang sesuai tanpa diketahui pengepul, membicarakan pengepul dan mengajak nelayan lain untuk pindah.
Kata Kunci : Resistensi, Nelayan, Pengepul
"
